PosRecip	yellow	4131973	2533180	324456	484120
Neg Recip	gray	4148934	3303379	332800	482485
Pro Norms	yellow	3373888	1638199	520027	1915180
Constrctv	yellow	3363221	4097869	467129	1887224
Pos Histo	yellow	1412807	2477343	467129	1940877
Neg Histo	gray	1412807	3311984	467129	1974740
Pos Goals	yellow	5354697	2455106	467129	1909128
Neg Goals	gray	5347060	3313887	467129	1916765
P-Symbols	yellow	7276284	1242969	463736	1199111
Cross-cut	yellow	1749073	814475	463736	1199111
Governanc	yellow	5676143	814476	463736	1199111
Conf Mgmt	yellow	3799218	4938701	463736	1199111
Proc Just	yellow	1749073	4938701	463736	1199111
Safe &sec	yellow	5676143	4938702	463736	1199111
P-Leaders	yellow	7775093	436726	499333	1037385
Sust Deve	yellow	3877509	6208638	330124	1037385
Transcend	yellow	321374	447572	502920	1037385
Peace Edu	yellow	1811348	202053	330124	1037385
Shared Id	yellow	3920913	388193	547865	1037385
P-vision	yellow	5757007	202053	330124	1037385
EqResourc	yellow	1628179	6334399	330123	1607678
Info Flow	yellow	321374	5449613	330124	1037385
BasicNeed	yellow	3863997	5614675	330124	1144159
Dvalu Vio	yellow	6298279	5724180	330124	1328757
RuleofLaw	yellow	2172498	5656630	330124	1037385
